function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
FUN_0004948c,0004948c,mips,gcc,O2,1,1,0,0,25,37,14,4,4,0.10810810810810811,2.88,6,25,72,0.9374434300804271,0.26789542483660134,90,12,0.14705882352941177,0.23529411764705882,0.0,0.0,0.0,0.051470588235294115,0,0,16,39,53,20,0.0,4.472137735504421,2.4862744864930835,0.19444444444444445,43,unknown,18,19,4,0.3783783783783784,unknown,0,unknown
FUN_000495ac,000495ac,mips,gcc,O2,1,1,0,0,10,12,4,0,0,0.0,3.7,4,10,37,1.1070864142474728,0.28575199310493427,50,2,0.0759493670886076,0.22784810126582278,0.0,0.012658227848101266,0.0,0.06329113924050633,0,0,16,23,34,6,0.0,4.306741232367692,2.347909192600767,0.10810810810810811,29,unknown,6,6,0,0.4166666666666667,unknown,0,unknown
FUN_00049640,00049640,mips,gcc,O2,1,1,0,0,15,29,16,5,5,0.1724137931034483,7.266666666666667,2,19,109,1.1135410331483369,0.05800484989572725,222,14,0.2192513368983957,0.06149732620320856,0.17914438502673796,0.0,0.0,0.013368983957219251,0,0,104,28,38,82,0.17914438502673796,5.325109124754201,2.2396995614066966,0.14678899082568808,59,unknown,8,21,5,0.3448275862068966,unknown,1,unknown
FUN_000497f4,000497f4,mips,gcc,O2,1,1,0,0,10,17,9,2,2,0.11764705882352941,6.4,1,13,64,1.3179739512946598,0.06299206349206349,150,7,0.2018348623853211,0.09174311926605505,0.16972477064220184,0.0,0.0,0.0045871559633027525,0,0,40,21,23,44,0.16972477064220184,5.077861914846541,2.2418750405212315,0.140625,42,unknown,5,12,2,0.7058823529411765,unknown,1,unknown
FUN_000498f4,000498f4,mips,gcc,O2,1,1,0,0,20,37,19,8,8,0.21621621621621623,5.65,2,26,113,1.0566097260002763,0.08578491301893079,256,17,0.20365535248041775,0.0783289817232376,0.1801566579634465,0.0,0.0,0.005221932114882507,0,0,56,32,36,78,0.1801566579634465,5.331926747657915,2.2919623877633746,0.168141592920354,58,unknown,13,24,8,0.6486486486486487,unknown,1,unknown
FUN_00049ab8,00049ab8,mips,gcc,O2,1,1,0,0,6,9,5,2,2,0.2222222222222222,11.166666666666666,0,8,67,1.1525486091010755,0.18407869012707723,116,3,0.2215909090909091,0.10227272727272728,0.16477272727272727,0.0,0.0,0.028409090909090908,0,0,72,23,33,39,0.16477272727272727,5.413019578591881,2.4281337640179874,0.07462686567164178,54,unknown,2,7,2,1.2222222222222223,unknown,1,unknown
FUN_00049bc4,00049bc4,mips,gcc,O2,1,1,0,0,25,41,18,8,8,0.1951219512195122,4.36,2,27,109,1.0230021616055656,0.14856983950421104,240,16,0.159375,0.134375,0.134375,0.0,0.0,0.003125,0,0,40,44,46,51,0.134375,4.954082120975558,2.3309756144950846,0.1651376146788991,47,unknown,12,29,8,0.4634146341463415,unknown,1,unknown
FUN_00049d78,00049d78,mips,gcc,O2,1,1,0,0,24,39,17,9,9,0.23076923076923078,4.541666666666667,3,24,109,1.0441445280207275,0.2664393748952572,126,15,0.12682926829268293,0.14634146341463414,0.07804878048780488,0.0,0.0,0.11707317073170732,0,0,16,54,102,26,0.07804878048780488,4.7935939582379365,2.702433367084743,0.1559633027522936,65,unknown,18,21,9,0.5641025641025641,unknown,1,unknown
FUN_00049f2c,00049f2c,mips,gcc,O2,1,1,0,0,62,96,36,22,22,0.22916666666666666,3.403225806451613,8,62,211,1.0224925916226921,0.5434731934731934,180,34,0.08130081300813008,0.25203252032520324,0.018970189701897018,0.032520325203252036,0.0,0.17886178861788618,0,0,16,159,303,30,0.018970189701897018,5.142316195893792,2.8408813467872576,0.17061611374407584,109,unknown,42,54,22,0.5729166666666666,unknown,1,unknown
FUN_0004a278,0004a278,mips,gcc,O2,1,1,0,0,23,39,18,6,6,0.15384615384615385,3.9565217391304346,2,25,91,1.2434608999137764,0.20622036641436964,112,16,0.18396226415094338,0.14150943396226415,0.11320754716981132,0.0,0.0,0.04716981132075472,0,0,32,40,60,39,0.11320754716981132,5.282672282753514,2.636998546098722,0.1978021978021978,61,unknown,15,24,6,0.5128205128205128,unknown,1,unknown
